,Soilcolor,Ph,Potassium,Phosphorus,Nitrogen,Zinc,Sulphur,Humidity-W,Humidity-Sp,Humidity-Su,Humidity-Au,Air_Temperature_MAX-W,Air_Temperature_MAX-Sp,Air_Temperature_MAX-Su,Air_Temperature_MAX-Au,Air_Temperature_MIN-W,Air_Temperature_MIN-Sp,Air_Temperature_MIN-Su,Air_Temperature_MIN-Au,Precipitation-W,Precipitation-Sp,Precipitation-Su,Precipitation-Au,Wind_Direction_10m_above_ground,Soil_Moisture_in_top_layer,Cloud_cover_percentage_or_amount,Range_of_wind_speed_at_2m_above_ground,Atmospheric_pressure,Crop
10,red,5.47,217.874,0.83888,0.23,0.723258,11.88,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley
11,brown,6.43,417.185,46.842,0.23,1.17,15.386,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley
12,red,6.06,149.357,1.505,0.23,0.754669,11.35,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley
13,brown,5.6,423.766,3.822,0.23,2.093,12.197,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley
14,brown,6.03,351.523,66.314,0.23,1.157,17.559,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley
15,gray,5.25,164.48,2.601,0.23,3.62,10.133,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley
16,brown,6.17,77.385,6.166,0.23,0.942004,10.85,7.993333333,10.45666667,11.96333333,9.683333333,26.85333333,28.52666667,23.06,22.27333333,5.39,9.89,10.41666667,5.693333333,2.073333333,5.27,12.30333333,5.27,3.44,0.73,56.57,6.24,77.03,Barley
17,black,6.15,116.77,5.055,0.23,1.831,10.016,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
18,black,5.79,137.386,4.894,0.23,2.773,8.975,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
19,reddish brown,5.99,81.482,12.275,0.23,1.082,10.742,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
20,black,5.9,196.733,2.025,0.23,1.705,14.6,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
21,yellowish brown,5.65,388.938,0.412473,0.23,1.237,10.498,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
22,brown,5.84,146.312,12.296,0.23,1.414,11.191,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
23,red,5.99,55.789,7.601,0.23,1.355,11.674,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
24,brown,5.8,276.0,4.0,0.321,2.0,9.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
25,red,6.3,277.673,80.748,0.23,1.209,11.417,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
26,reddish brown,5.93,234.671,6.988,0.23,0.925432,11.54,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
27,brown,6.05,96.094,7.112,0.23,0.923301,11.728,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
28,red,5.63,508.623,3.883,0.23,0.679485,12.999,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
29,brown,5.99,403.938,74.965,0.23,1.985,16.624,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
30,brown,5.9,347.0,12.0,0.2526,3.5,11.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
31,dark brown,5.2,135.701,8.851,0.23,3.177,12.095,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
32,reddish brown,6.21,175.786,13.07,0.23,1.443,9.367,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
33,brown,5.57,71.766,8.048,0.23,3.137,5.906,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
34,brown,6.05,697.628,168.213,0.23,1.814,15.609,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
35,brown,6.01,285.655,58.65,0.23,1.733,10.517,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
36,black,5.85,183.472,3.766,0.23,1.44,11.939,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
37,red,6.15,89.77,5.095,0.23,0.999941,11.033,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
38,brown,6.1,420.0,12.0,0.2365,2.2,7.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
39,brown,5.57,267.393,6.915,0.23,1.064,13.226,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
40,brown,5.45,449.394,2.712,0.23,3.157,13.146,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
41,brown,5.61,161.458,4.224,0.23,1.325,12.158,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
42,red,6.0,98.899,6.002,0.23,0.646985,10.839,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
43,red,5.74,177.9,3.149,0.23,1.03,12.044,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
44,brown,5.71,366.933,4.908,0.23,0.812608,16.75,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
45,brown,5.7,191.0,7.0,0.3493,3.5,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
46,other,6.0,296.0,15.0,0.2681,3.3,13.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
47,brown,5.7,241.0,12.0,0.358,3.0,13.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
48,other,5.8,182.0,6.0,0.3411,3.0,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
49,brown,6.4,239.0,50.0,0.1255,1.3,17.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
50,other,5.7,208.0,4.0,0.2748,2.8,6.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
51,brown,5.9,242.0,8.0,0.219,2.4,9.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
52,other,5.8,343.0,11.0,0.2242,3.2,7.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
53,other,6.0,318.0,11.0,0.2734,3.3,6.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
54,brown,6.3,295.0,10.0,0.1702,2.2,5.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
55,brown,6.07,125.216,13.546,0.23,1.459,11.334,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
56,brown,5.56,158.106,5.391,0.23,2.349,14.209,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
57,brown,6.25,55.791,84.785,0.23,0.769416,5.549,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
58,brown,6.3,159.0,5.0,0.1754,1.4,6.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
59,red,5.9,185.0,4.0,0.2145,1.5,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
60,brown,5.9,316.0,3.0,0.2905,3.4,6.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
61,brown,6.1,910.0,164.0,0.2087,3.3,7.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
62,gray,5.7,187.345,17.626,0.23,1.087,15.959,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
63,gray,5.61,1458.2,291.856,0.23,3.463,21.958,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
64,brown,5.63,391.602,23.076,0.23,2.039,17.165,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
65,brown,6.35,104.195,3.226,0.23,1.098,12.622,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
66,brown,6.0,226.0,3.0,0.2593,1.9,7.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
67,red,6.1,415.0,96.0,0.1692,2.2,10.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
68,red,5.8,319.0,7.0,0.184,2.1,7.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
69,brown,5.61,237.341,16.899,0.23,1.708,13.733,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
70,brown,5.95,97.358,6.494,0.23,1.724,12.492,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
71,brown,5.85,90.749,6.252,0.23,1.879,13.922,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
72,brown,6.0,338.0,9.0,0.3063,2.7,11.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
73,brown,6.2,287.0,22.0,0.2363,2.0,7.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
74,brown,6.3,196.0,8.0,0.2935,1.8,10.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
75,black,5.9,177.0,18.0,0.2902,2.1,10.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
76,brown,6.1,461.0,39.0,0.2591,3.7,10.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
77,black,5.95,214.852,2.253,0.23,1.704,11.793,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
78,other,5.5,90.0,5.0,0.3693,1.2,11.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
79,brown,5.6,395.0,18.0,0.4014,6.3,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
80,black,5.9,360.0,13.0,0.286,5.4,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
81,other,6.2,361.0,9.0,0.1405,1.6,4.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
82,brown,5.7,245.0,3.0,0.2039,3.1,6.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
83,brown,5.6,505.0,107.0,0.2174,3.6,11.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
84,other,5.6,115.0,6.0,0.2437,2.6,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
85,brown,5.4,271.0,48.0,0.1572,3.3,9.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
86,black,5.9,401.0,4.0,0.171,2.0,5.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
87,brown,5.7,450.0,6.0,0.2482,3.6,10.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
88,other,5.4,106.0,5.0,0.2142,2.2,10.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
89,other,6.2,336.0,7.0,0.1693,1.9,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
90,red,5.8,326.0,2.0,0.1218,0.9,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
91,black,6.0,454.0,5.0,0.2287,1.8,8.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
92,other,5.5,276.0,8.0,0.2333,2.2,11.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
93,brown,5.4,82.0,8.0,0.2385,2.3,19.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
94,other,6.0,520.0,85.0,0.197,4.2,9.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
95,brown,6.5,272.0,6.0,0.2918,2.0,12.0,7.183333333,7.65,10.47666667,9.07,22.33,25.61666667,23.65,20.61666667,2.053333333,4.816666667,8.433333333,3.98,2.073333333,2.613333333,4.836666667,3.63,75.69,0.65,0.46,46.1,74.17,Barley
96,yellowish brown,5.72,298.895,25.574,0.23,2.605,14.326,7.65,7.773333333,10.98666667,9.726666667,9.03,25.14666667,28.24333333,23.80666667,3.413333333,6.96,9.98,5.703333333,1.17,2.243333333,7.52,2.88,81.06,0.69,53.45,6.48,75.83,Barley
